price,bedrooms,square_feet,pets_allowed,pets_yes,pets_label
2195.0,1.0,542.0,Cats,True,да
1250.0,3.0,1500.0,"Cats,Dogs",True,да
1395.0,3.0,1650.0,,False,нет
1600.0,2.0,820.0,"Cats,Dogs",True,да
975.0,1.0,624.0,"Cats,Dogs",True,да
1250.0,2.0,965.0,"Cats,Dogs",True,да
1600.0,2.0,1120.0,,False,нет
1300.0,2.0,947.0,"Cats,Dogs",True,да
795.0,2.0,600.0,Dogs,True,да
2150.0,2.0,1005.0,,False,нет
1795.0,3.0,1522.0,,False,нет
3195.0,2.0,3077.0,,False,нет
2395.0,2.0,896.0,,False,нет
7800.0,4.0,4650.0,,False,нет
720.0,3.0,800.0,,False,нет
2000.0,2.0,872.0,"Cats,Dogs",True,да
729.0,1.0,800.0,"Cats,Dogs",True,да
1045.0,1.0,700.0,"Cats,Dogs",True,да
1800.0,3.0,1500.0,"Cats,Dogs",True,да
1250.0,2.0,435.0,"Cats,Dogs",True,да
1099.0,0.0,290.0,"Cats,Dogs",True,да
1060.0,1.0,650.0,,False,нет
1003.0,1.0,797.0,,False,нет
837.0,1.0,444.0,,False,нет
1020.0,1.0,692.0,,False,нет
985.0,1.0,693.0,,False,нет
1581.0,1.0,703.0,,False,нет
1090.0,1.0,665.0,,False,нет
3250.0,3.0,1525.0,"Cats,Dogs",True,да
962.0,1.0,532.0,,False,нет
1740.0,2.0,1600.0,"Cats,Dogs",True,да
1722.0,1.0,453.0,,False,нет
840.0,1.0,540.0,,False,нет
1590.0,2.0,1000.0,"Cats,Dogs",True,да
975.0,1.0,615.0,"Cats,Dogs",True,да
895.0,0.0,430.0,"Cats,Dogs",True,да
1695.0,3.0,1550.0,"Cats,Dogs",True,да
975.0,1.0,650.0,"Cats,Dogs",True,да
4500.0,5.0,2050.0,,False,нет
3990.0,3.0,1739.0,,False,нет
2300.0,1.0,668.0,,False,нет
2550.0,2.0,860.0,,False,нет
4950.0,4.0,3350.0,,False,нет
4950.0,2.0,1200.0,"Cats,Dogs",True,да
1225.0,2.0,720.0,,False,нет
1025.0,1.0,616.0,"Cats,Dogs",True,да
2548.0,2.0,1391.0,"Cats,Dogs",True,да
1299.0,3.0,1119.0,"Cats,Dogs",True,да
1549.0,2.0,431.0,"Cats,Dogs",True,да
1905.0,2.0,900.0,"Cats,Dogs",True,да
1199.0,3.0,1273.0,"Cats,Dogs",True,да
3580.0,4.0,2100.0,Cats,True,да
495.0,1.0,360.0,"Cats,Dogs",True,да
650.0,2.0,314.0,,False,нет
973.0,1.0,509.0,"Cats,Dogs",True,да
2095.0,2.0,390.0,"Cats,Dogs",True,да
750.0,1.0,568.0,"Cats,Dogs",True,да
1475.0,1.0,663.0,"Cats,Dogs",True,да
1650.0,4.0,1100.0,"Cats,Dogs",True,да
1200.0,1.0,840.0,"Cats,Dogs",True,да
720.0,1.0,511.0,,False,нет
1385.0,2.0,572.0,"Cats,Dogs",True,да
1007.0,1.0,735.0,"Cats,Dogs",True,да
1499.0,3.0,1544.0,"Cats,Dogs",True,да
671.0,1.0,685.0,"Cats,Dogs",True,да
1910.0,2.0,745.0,"Cats,Dogs",True,да
945.0,1.0,530.0,,False,нет
1164.0,1.0,755.0,"Cats,Dogs",True,да
777.0,2.0,563.0,"Cats,Dogs",True,да
1055.0,1.0,550.0,"Cats,Dogs",True,да
665.0,1.0,443.0,"Cats,Dogs",True,да
600.0,1.0,347.0,"Cats,Dogs",True,да
2000.0,2.0,1220.0,"Cats,Dogs",True,да
799.0,1.0,500.0,"Cats,Dogs",True,да
1400.0,3.0,1168.0,,False,нет
1915.0,1.0,760.0,"Cats,Dogs",True,да
645.0,1.0,675.0,,False,нет
650.0,1.0,560.0,"Cats,Dogs",True,да
1795.0,3.0,1656.0,"Cats,Dogs",True,да
2683.0,1.0,957.0,,False,нет
3995.0,3.0,2831.0,,False,нет
850.0,1.0,685.0,"Cats,Dogs",True,да
885.0,2.0,468.0,"Cats,Dogs",True,да
2395.0,2.0,900.0,"Cats,Dogs",True,да
1250.0,3.0,2628.0,,False,нет
1795.0,1.0,500.0,,False,нет
545.0,2.0,950.0,,False,нет
3495.0,5.0,2900.0,,False,нет
1195.0,0.0,300.0,,False,нет
595.0,2.0,792.0,,False,нет
6500.0,4.0,3800.0,,False,нет
1395.0,3.0,1550.0,,False,нет
1145.0,1.0,350.0,"Cats,Dogs",True,да
1895.0,4.0,2132.0,,False,нет
975.0,1.0,882.0,"Cats,Dogs",True,да
1015.0,2.0,845.0,"Cats,Dogs",True,да
1495.0,3.0,1850.0,"Cats,Dogs",True,да
1103.0,1.0,652.0,,False,нет
1032.0,1.0,600.0,,False,нет
1729.0,2.0,448.0,,False,нет
920.0,2.0,420.0,,False,нет
1339.0,1.0,726.0,,False,нет
1650.0,3.0,1250.0,,False,нет
1695.0,3.0,1253.0,"Cats,Dogs",True,да
932.0,1.0,725.0,"Cats,Dogs",True,да
1500.0,2.0,1177.0,"Cats,Dogs",True,да
2200.0,2.0,1070.0,"Cats,Dogs",True,да
2795.0,2.0,1370.0,Dogs,True,да
3200.0,4.0,1474.0,"Cats,Dogs",True,да
3399.0,3.0,1721.0,"Cats,Dogs",True,да
1549.0,4.0,2598.0,"Cats,Dogs",True,да
1299.0,4.0,2200.0,"Cats,Dogs",True,да
778.0,1.0,616.0,,False,нет
1140.0,1.0,691.0,,False,нет
949.0,1.0,625.0,"Cats,Dogs",True,да
891.0,1.0,832.0,"Cats,Dogs",True,да
1400.0,2.0,1140.0,"Cats,Dogs",True,да
1160.0,2.0,338.0,"Cats,Dogs",True,да
1225.0,1.0,450.0,,False,нет
960.0,2.0,752.0,,False,нет
1525.0,3.0,1698.0,"Cats,Dogs",True,да
995.0,2.0,1336.0,,False,нет
1799.0,4.0,3740.0,"Cats,Dogs",True,да
900.0,1.0,701.0,"Cats,Dogs",True,да
883.0,1.0,719.0,"Cats,Dogs",True,да
1424.0,3.0,1050.0,,False,нет
850.0,1.0,770.0,"Cats,Dogs",True,да
715.0,2.0,740.0,"Cats,Dogs",True,да
1025.0,2.0,500.0,Cats,True,да
625.0,1.0,468.0,,False,нет
1660.0,1.0,727.0,"Cats,Dogs",True,да
2000.0,1.0,585.0,"Cats,Dogs",True,да
