,"Цена аренды, USD/мес.",Число спален,"Площадь, кв. фут"
Среднее,1515.3107366317947,1.7261902371438325,953.13552940704
Стандартная ошибка,2.4057606692613582,0.0023608471127149733,1.0976593958519965
Медиана,1350.0,2.0,900.0
Мода,1350.0,2.0,1000.0
Стандартное отклонение,759.2528836864403,0.7450782620126533,346.4189402772237
Дисперсия выборки,576464.9413861753,0.5551416165237959,120006.0821827947
Эксцесс,12.638706038442919,1.3626406679675194,12.860035415166454
Асимметричность,2.475397441056658,0.8399649062370398,2.315621843612362
Интервал (размах),9900.0,8.0,4869.0
Минимум,100.0,0.0,101.0
Максимум,10000.0,8.0,4970.0
Сумма,150927979.99,171932.0,94934205.0
Счёт,99602.0,99602.0,99602.0
